site,T,Y,X,treat,ID,field_tag,date,status,c1,c2,ch,canopy,infls,i1,i2,i3,i4,i5,i6,i7,i8,i9,i10,stem_d1,notes,stem_d2,lv_stems,dd_stems,herbivory
C,3,55,-0.5,control,802,802,41588,3,1,1,3,,,,,,,,,,,,,1.1,,,,,
C,3,55,0.5,remove,803,803,41588,1,2,1,4,,,,,,,,,,,,,1.3,,,,,
C,3,56,0.5,remove,603,603,41588,1,3,3,5,,,,,,,,,,,,,2.2,,,,,
C,3,65,-0.5,remove,804,804,41588,1,3,3,2,,,,,,,,,,,,,1.2,,,,,
C,3,65,0.5,control,805,805,41588,1,4,3,5,,,,,,,,,,,,,1.7,,,,,
C,3,67,-0.5,remove,604,604,41588,1,3,2,6,,,,,,,,,,,,,1.7,,,,,
C,3,67,0.5,control,605,605,41588,1,2,1,4,,,,,,,,,,,,,1.3,,,,,
C,3,75,-0.5,control,806,806,41588,1,4,2,4,,,,,,,,,,,,,1.3,,,,,
C,3,75,0.5,remove,807,807,41588,1,2,1,6,,,,,,,,,,,,,1.5,,,,,
C,3,77,-0.5,control,606,606,41588,1,4,2,3,,,,,,,,,,,,,1.8,,,,,
C,3,84,-0.5,remove,808,808,41588,1,2,1,5,,,,,,,,,,,,,1,,,,,
C,3,87,-0.5,control,608,608,41588,1,1,1,3,,,,,,,,,,,,,0.9,,,,,
C,3,87,0.5,remove,609,609,41588,1,1,1,3,,,,,,,,,,,,,0.7,,,,,
C,3,95,0.5,remove,811,811,41588,1,3,3,8,,,,,,,,,,,,,1.7,,,,,
C,3,97,-0.5,control,610,610,41588,1,2,3,5,,,,,,,,,,,,,1,,,,,
C,3,97,0.5,remove,611,611,41588,1,3,1,3,,,,,,,,,,,,,1.4,,,,,
G,1,6.1,-0.5,remove,148,148,41574,1,77,37,39,11,20,6,6,5,5,6,2,3,3,10,8,,,,,,
G,1,12.1,-0.3,control,149,149,41574,1,45,30,50,7,34,6,8,11,5,8,10,9,7,8,7,,,,,,
G,1,18.3,0,control,150,150,41574,1,33,39,44,6,15,1,2,5,5,5,6,4,5,2,5,,,,,,
G,1,23.6,1.3,control,151,151,41574,1,94,54,75,24,83,8,6,7,3,4,7,7,7,6,8,,,,,,
G,1,29.3,0.4,remove,152,152,41574,1,40,32,41,5,8,3,2,3,11,8,6,4,2,,,,some leaves falling off,,,,
G,1,36.1,0.3,control,153,153,41574,1,65,64,65,14,69,3,8,4,4,4,2,7,5,9,6,,,,,,
G,1,42.2,0.6,control,154,154,41574,1,25,28,26,4,7,4,3,1,3,5,2,1,,,,,,,,,
G,1,47.4,-0.4,remove,155,155,41574,1,50,58,50,13,25,5,6,10,5,4,6,5,5,10,9,,,,,,
