"site","T","Y","X","treat","ID","TAG","date","status","c1","c2","ch","old.notes","date2","Spring.Status","Spring.Notes","herbivory"
"C",2,6,2.4,"control",35,35,2013-11-10,1,45,35,23,NA,2014-05-16,"1",NA,NA
"C",2,7.9,-1.6,"control",34,34,2013-11-10,1,72,57,51,NA,2014-05-16,"1",NA,NA
"C",2,11.5,0.4,"control",36,36,2013-11-10,1,25,17,59,NA,2014-05-16,"0","dry gray",NA
"C",2,13.1,-0.1,"control",37,37,2013-11-10,1,12,7,26,NA,2014-05-16,"1",NA,NA
"C",2,17,-2.4,"control",38,38,2013-11-10,1,105,91,64,NA,2014-05-16,"1",NA,NA
"C",2,18.5,0.1,"control",39,39,2013-11-10,1,35,23,30,NA,2014-05-16,"1",NA,NA
"C",2,23.2,-0.3,"control",40,40,2013-11-10,1,20,8,20,NA,2014-05-16,"1","dry gray, switched status from 3 to 1 because plant was recorded alive on 5-21-14",NA
"C",2,25.1,-2.1,"remove",41,41,2013-11-10,1,35,18,30,NA,2014-05-16,"0","dry gray",NA
"C",2,28.4,0.4,"control",42,42,2013-11-10,1,83,65,49,NA,2014-05-16,"1","switched trtment",NA
"C",2,32.6,1.1,"remove",43,43,2013-11-10,1,125,90,81,NA,2014-05-16,"1",NA,NA
"C",2,36.6,0.05,"remove",44,44,2013-11-10,1,15,7,11,"old with black fungus on stems",2014-05-16,"1",NA,NA
"C",2,37.8,-1.8,"control",45,45,2013-11-10,1,14,19,29,NA,2014-05-16,"0","dry gray lvs falling off",NA
"C",2,38.8,0.7,"control",46,46,2013-11-10,1,85,81,59,NA,2014-05-16,"1","broken branch",NA
"C",2,42.8,0.6,"remove",47,47,2013-11-10,1,57,57,42,NA,2014-05-16,"1",NA,NA
"C",2,47.2,0.25,"control",48,48,2013-11-10,1,5,6,11,NA,2014-05-16,"1","removal effective",NA
"C",2,48.2,-1.7,"remove",49,49,2013-11-10,1,27,25,37,NA,2014-05-16,"1",NA,NA
"C",2,51.1,-0.9,"remove",50,50,2013-11-10,1,93,78,77,NA,2014-05-16,"1",NA,NA
"C",2,54.5,1.9,"remove",51,51,2013-11-10,1,48,27,46,NA,2014-05-16,"1",NA,NA
"C",2,59.9,0.25,"remove",52,52,2013-11-10,1,5,8,9,NA,2014-05-16,"1",NA,NA
"C",2,62.5,-1,"remove",53,53,2013-11-10,1,18,12,32,NA,2014-05-16,"1",NA,NA
"C",2,65.8,-0.6,"removal",54,54,2013-11-10,1,84,50,45,NA,2014-05-16,"1","switched trtment",NA
"C",2,68,2.3,"remove",55,55,2013-11-10,1,141,95,60,NA,2014-05-16,"1",NA,NA
"C",2,71.6,0.5,"remove",56,56,2013-11-10,1,41,37,35,NA,2014-05-16,"1",NA,NA
"C",2,73.7,-1.4,"control",57,57,2013-11-10,1,15,11,30,NA,2014-05-16,"1",NA,NA
"C",2,78.2,2.45,"remove",58,58,2013-11-10,1,76,64,60,NA,2014-05-16,"1",NA,NA
"C",2,78.2,-1.1,"control",59,59,2013-11-10,1,73,50,46,NA,2014-05-16,"1",NA,NA
"C",2,81.9,1.1,"remove",60,60,2013-11-10,1,18,15,42,NA,2014-05-16,"0","trampled broken at base",NA
"C",2,84.2,-1.6,"remove",61,61,2013-11-10,1,25,26,37,NA,2014-05-16,"1","broken on side",NA
"C",2,88.6,4.2,"control",62,62,2013-11-10,1,76,25,51,NA,2014-05-16,"1","half dead",NA
"C",2,90.4,0.4,"remove",63,63,2013-11-10,1,57,24,27,NA,2014-05-16,"1",NA,NA
"C",2,94.8,0.25,"control",64,64,2013-11-10,1,9,8,17,NA,2014-05-16,"1",NA,NA
"C",2,97.3,-0.3,"control",65,65,2013-11-10,1,46,37,43,NA,2014-05-16,"1",NA,NA
"C",3,7,-0.5,"remove",592,592,2013-11-10,1,3,2,4,NA,2014-05-16,"1","removal ineffective",NA
"C",3,7,0.5,"control",593,593,2013-11-10,3,2,1,6,NA,2014-05-16,"0","dry no lvs",NA
"C",3,25,-0.5,"remove",796,796,2013-11-10,1,1,1,3,NA,2014-05-16,"0","dry no lvs",NA
