tag1,tag2,site,transect,Y,X,ID,species,class,treatment,status,notes.1,notes.2,DATE,STATUS,c1,c2,ch,canopy,stem_d1,stem_d2,notes
838,,C,1,78.4,-1,1067,ATP,1,control,1,,,,,,,,,,,
31,,C,1,83.5,0.3,31,ATP,1,control,1,,,,,,,,,,,
28,,C,1,84,1.5,843,ATP,1,control,1,,missing in summer 2013 but refound,,,,,,,,,
629,,C,1,87.5,2,1068,ATP,1,remove,1,,,,,,,,,,,
35,,C,2,6,2.4,35,ATP,3,control,1,,,,,,,,,,,
34,,C,2,7.9,-1.6,34,ATV,3,control,1,,,,,,,,,,,
36,,C,2,11.5,0.4,36,ATV,2,control,0,left tag,,,,,,,,,,
36,,C,2,11.5,0.4,36,ATV,2,control,0,left tag,,,,,,,,,,
37,,C,2,13.1,-0.1,37,ATP,2,control,1,,,,,,,,,,,
38,,C,2,17,-2.4,38,ATV,3,control,1,,,,,,,,,,,
39,,C,2,18.5,0.1,39,ATP,3,control,1,,,,,,,,,,,
40,,C,2,23.2,-0.3,40,ATP,2,control,0,"no leaves, left tag",,,,,,,,,,
41,,C,2,25.1,-2.1,41,ATV,2,remove,0,left tag,,,,,,,,,,
42,,C,2,28.4,0.4,42,ATP,3,control,1,,had to switch treatment,,,,,,,,,
43,,C,2,32.6,1.1,43,ATV,3,remove,1,,,,,,,,,,,
44,,C,2,36.6,0.05,44,ATP,2,remove,1,black stem cankers,,,,,,,,,,
45,,C,2,37.8,-1.8,45,ATV,2,control,0,"dry, left tag",,,,,,,,,,
45,,C,2,37.8,-1.8,45,ATV,2,control,0,"no leaves, left tag",,,,,,,,,,
46,,C,2,38.8,0.7,46,ATV,3,control,1,,,,,,,,,,,
47,,C,2,42.8,0.6,47,ATP,3,remove,1,7 infls. Cut off on ground,,,,,,,,,,
48,,C,2,47.2,0.25,48,ATP,2,control,1,gray gall ,,,,,,,,,,
49,,C,2,48.2,-1.7,49,ATV,2,remove,1,stem base far from canopy,,,,,,,,,,
